spkid,targetname,datetime_jd,e,a,incl,q,M,pha,H,diameter,albedo,moid
20099942,99942 Apophis (2004 MN4),2457750.5,0.1915131842337157,0.9226086974651088,3.336764540147517,0.7459169680118448,297.8048460451865,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2457780.5,0.191511622334995,0.9226061974246637,3.336761390100874,0.7459163877795459,331.1699342845827,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2457810.5,0.1915148819992499,0.9226103886573724,3.336766951310935,0.7459167689423736,4.536209775781682,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2457840.5,0.191518036336376,0.9226118143096907,3.336784219436511,0.7459150113323577,37.90241650081285,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2457870.5,0.1915214930064725,0.9226073700871908,3.336796655328709,0.7459082291093171,71.26958018040301,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2457900.5,0.191526316645741,0.9226021980754692,3.336791961492226,0.7458995973488104,104.6367076536863,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2457930.5,0.1915277823477305,0.9226007267997608,3.336789462046453,0.7458970556033983,138.0030777117595,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2457960.5,0.1915232837066159,0.9226040920253364,3.336796915877358,0.7459039267594831,171.3690031727898,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2457990.5,0.19151132496896,0.9226132487570482,3.336811401981735,0.7459223630536693,204.7344707357709,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2458020.5,0.1914967777550478,0.9226237958510342,3.336817330955226,0.74594431186543,238.0998494459106,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2458050.5,0.191489084288501,0.9226261897646536,3.336817844028725,0.7459533455460314,271.4639741603316,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2458080.5,0.1914859247346817,0.9226171161325,3.336824161194989,0.7459489244738232,304.8259394253143,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2458110.5,0.1914804650339955,0.9226044057486672,3.336824313323332,0.7459436850934994,338.1882895642649,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2458140.5,0.191476965143892,0.922599708045084,3.336837046292466,0.7459431159059706,11.55325825135446,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2458170.5,0.1914748760702717,0.9225971965603176,3.336858238113203,0.7459430126861504,44.91967383372909,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2458200.5,0.1914716394701233,0.922586629196436,3.336874971916367,0.7459374547509795,78.28924830045702,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2458230.5,0.1914720596822522,0.9225684276303084,3.336862517470081,0.7459223505941164,111.6633307602446,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2458260.5,0.1914708966000825,0.9225591085685274,3.336860045479475,0.7459158888843384,145.0373290311269,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2458290.5,0.1914708802096399,0.9225570072236684,3.336866710300769,0.7459142050069816,178.4091878197243,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2458320.5,0.1914717873047761,0.9225573138652504,3.336868127524552,0.7459136160883774,211.779959020948,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2458350.5,0.191468539412634,0.9225609594065036,3.336876682154611,0.7459195599898218,245.1493448944047,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2458380.5,0.1914617745368864,0.9225631349124024,3.336876276984844,0.7459275599797609,278.5172810005149,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2458410.5,0.1914536317919687,0.9225542387730682,3.33687351004544,0.7459278792348892,311.8830449086091,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2458440.5,0.1914429668167743,0.9225396895331686,3.33687221007837,0.7459259543627131,345.2495310646936,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2458470.5,0.1914375548445673,0.9225334046196046,3.336879660732177,0.7459258653767938,18.61865133117869,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2458500.5,0.1914400560778369,0.9225359877651506,3.336884532995855,0.7459256465335675,51.98789532257274,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2458530.5,0.1914444580373666,0.9225364429622216,3.33687874423545,0.7459219536195991,85.35726072465543,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2458560.5,0.1914516292852076,0.9225306113500664,3.336874561848659,0.7459106227416177,118.7279485088933,Y,19.09,0.34,0.35,0.000361
